test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
nor,7,0.825,0.812,0.839,0.986,eng,1
nor,8,0.819,0.803,0.835,0.987,eng,1
nor,9,0.808,0.788,0.828,0.987,eng,1
nor,10,0.792,0.76,0.828,0.986,eng,1
nor,11,0.826,0.825,0.828,0.986,eng,1
nor,12,0.845,0.814,0.878,0.987,eng,1
nor,13,0.824,0.803,0.846,0.986,eng,1
nor,14,0.833,0.817,0.849,0.987,eng,1
nor,15,0.841,0.822,0.86,0.987,eng,1
heb,1,0.464,0.4,0.554,0.946,eng,4
heb,2,0.466,0.413,0.535,0.945,eng,4
heb,3,0.504,0.49,0.519,0.955,eng,4
heb,4,0.498,0.45,0.558,0.954,eng,4
heb,5,0.504,0.47,0.542,0.954,eng,4
heb,6,0.545,0.522,0.569,0.96,eng,4
heb,7,0.523,0.541,0.506,0.959,eng,4
heb,8,0.564,0.565,0.563,0.962,eng,4
heb,9,0.545,0.536,0.554,0.96,eng,4
heb,10,0.543,0.513,0.576,0.956,eng,4
heb,11,0.557,0.567,0.547,0.961,eng,4
heb,12,0.555,0.539,0.572,0.96,eng,4
heb,13,0.55,0.537,0.565,0.959,eng,4
heb,14,0.54,0.536,0.544,0.96,eng,4
heb,15,0.548,0.541,0.556,0.96,eng,4
rom,1,0.685,0.612,0.777,0.976,eng,3
rom,2,0.635,0.591,0.686,0.975,eng,3
rom,3,0.594,0.594,0.594,0.973,eng,3
rom,4,0.62,0.563,0.69,0.975,eng,3
rom,5,0.597,0.577,0.618,0.974,eng,3
rom,6,0.584,0.575,0.594,0.973,eng,3
rom,7,0.549,0.561,0.537,0.964,eng,3
rom,8,0.582,0.585,0.579,0.972,eng,3
rom,9,0.563,0.559,0.566,0.97,eng,3
rom,10,0.593,0.58,0.607,0.973,eng,3
rom,11,0.57,0.583,0.557,0.97,eng,3
rom,12,0.571,0.575,0.568,0.969,eng,3
rom,13,0.578,0.575,0.581,0.97,eng,3
rom,14,0.572,0.576,0.568,0.969,eng,3
rom,15,0.58,0.584,0.576,0.969,eng,3
por,1,0.812,0.787,0.839,0.98,eng,3
por,2,0.817,0.824,0.809,0.978,eng,3
por,3,0.806,0.828,0.785,0.978,eng,3
por,4,0.809,0.795,0.824,0.979,eng,3
por,5,0.828,0.833,0.824,0.98,eng,3
por,6,0.813,0.823,0.804,0.979,eng,3
por,7,0.79,0.816,0.765,0.975,eng,3
por,8,0.828,0.849,0.807,0.98,eng,3
por,9,0.821,0.835,0.807,0.98,eng,3
por,10,0.825,0.827,0.824,0.981,eng,3
por,11,0.824,0.854,0.796,0.979,eng,3
por,12,0.825,0.836,0.815,0.98,eng,3
por,13,0.829,0.844,0.815,0.98,eng,3
por,14,0.824,0.846,0.804,0.979,eng,3
por,15,0.821,0.839,0.804,0.979,eng,3
ger,1,0.756,0.701,0.819,0.974,eng,1
ger,2,0.756,0.727,0.786,0.974,eng,1
ger,3,0.77,0.779,0.761,0.976,eng,1
ger,4,0.75,0.708,0.798,0.974,eng,1
ger,5,0.774,0.75,0.8,0.975,eng,1
ger,6,0.774,0.76,0.788,0.976,eng,1
ger,7,0.786,0.795,0.776,0.977,eng,1
ger,8,0.789,0.799,0.78,0.977,eng,1
ger,9,0.783,0.78,0.786,0.976,eng,1
ger,10,0.781,0.769,0.794,0.976,eng,1
ger,11,0.777,0.796,0.759,0.976,eng,1
ger,12,0.78,0.772,0.788,0.976,eng,1
ger,13,0.781,0.773,0.788,0.976,eng,1
ger,14,0.779,0.775,0.782,0.976,eng,1
ger,15,0.782,0.779,0.786,0.976,eng,1
chi,1,0.649,0.596,0.712,0.956,eng,5
chi,2,0.669,0.627,0.717,0.956,eng,5
chi,3,0.691,0.673,0.71,0.96,eng,5
chi,4,0.667,0.608,0.738,0.958,eng,5
chi,5,0.675,0.622,0.737,0.958,eng,5
chi,6,0.688,0.644,0.739,0.96,eng,5
chi,7,0.671,0.64,0.705,0.96,eng,5
chi,8,0.696,0.657,0.739,0.961,eng,5
chi,9,0.694,0.644,0.753,0.959,eng,5
chi,10,0.678,0.614,0.757,0.956,eng,5
chi,11,0.686,0.654,0.722,0.959,eng,5
chi,12,0.677,0.619,0.749,0.958,eng,5
chi,13,0.672,0.61,0.747,0.957,eng,5
chi,14,0.677,0.621,0.745,0.958,eng,5
chi,15,0.677,0.619,0.747,0.958,eng,5
hrv,1,0.845,0.78,0.922,0.983,eng,2
hrv,2,0.88,0.831,0.936,0.985,eng,2
